RANK,,PLAYER,AVG,TOTAL DISTANCE,TOTAL DRIVES
1,-,Cameron Champ,318.3,"17,827",56
2,-,Rory McIlroy,317.5,"29,845",94
3,1,Kevin Dougherty,313.8,"20,083",64
4,1,Byeong Hun An,313.7,"34,510",110
5,-,Wyndham Clark,313.4,"24,447",78
6,1,Min Woo Lee,312.3,"23,731",76
7,1,Chris Gotterup,312.1,"24,346",78
8,-,Gary Woodland,311.5,"27,414",88
9,-,Alejandro Tosti,311.4,"26,159",84
10,-,Jhonattan Vegas,311,"18,660",60
11,-,Vincent Norrman,310.9,"24,869",80
12,1,Kevin Yu,310.6,"25,473",82
13,1,Pierceson Coody,310.4,"23,280",75
14,1,Carl Yuan,310.3,"22,342",72
15,1,Keith Mitchell,310.1,"30,390",98
16,5,Taylor Pendrith,310,"27,280",88
17,1,Hayden Springer,309.5,"19,497",63
18,1,Joseph Bramlett,309.3,"28,457",92
19,2,Stephan Jaeger,309,"29,042",94
20,-,Ryan Fox,308.8,"27,170",88
21,1,Paul Barjon,308.4,"16,037",52
22,3,Nicolai Højgaard,308,"24,021",78
23,2,Jake Knapp,307.9,"30,787",100
24,1,Tony Finau,307.6,"32,602",106
24,4,Patrick Fishburn,307.6,"17,228",56
26,3,Rico Hoey,307.5,"20,909",68
27,3,Justin Thomas,307.1,"22,725",74
28,1,Ludvig Åberg,307,"27,631",90
28,2,Max Greyserman,307,"22,410",73
28,2,Callum Tarren,307,"22,105",72
31,1,Sam Stevens,306.9,"31,918",104
32,1,Lanto Griffin,306.8,"22,087",72
33,1,Garrick Higgo,306.5,"26,357",86
34,2,Ryan McCormick,306.3,"18,376",60
34,2,Adam Scott,306.3,"26,344",86
36,3,Jordan Spieth,305.5,"28,107",92
37,4,Jimmy Stanger,305.3,"20,452",67
38,5,Rafael Campos,305.2,"19,225",63
38,-,Kurt Kitayama,305.2,"28,693",94
38,1,Patrick Rodgers,305.2,"30,517",100
41,3,Xander Schauffele,305,"28,667",94
42,3,Matti Schmid,304.8,"25,299",83
43,3,Ryan Brehm,304.5,"20,703",68
43,3,Cameron Young,304.5,"32,281",106
45,3,Maverick McNealy,304.4,"31,053",102
46,5,Sam Burns,304,"27,358",90
47,3,Davis Thompson,303.6,"30,360",100
48,4,Nick Dunlap,303.5,"23,675",78
48,3,Grayson Murray,303.5,"23,064",76
50,1,Sahith Theegala,303.3,"33,364",110
51,3,Parker Coody,302.9,"26,350",87
52,3,Alex Smalley,302.8,"21,798",72
53,-,Taylor Moore,302.7,"33,295",110
54,2,Joe Highsmith,302.5,"19,056",63
55,3,David Skinns,302.4,"24,193",80
56,3,Adrien Dumont de Chassart,302.3,"25,392",84
57,3,Erik Barnes,302.2,"19,645",65
57,3,Charley Hoffman,302.2,"22,967",76
59,6,Vince Whaley,301.8,"20,222",67
60,2,Keegan Bradley,301.7,"29,563",98
61,5,Nick Hardy,301.4,"28,026",93
62,6,Jason Day,301.3,"28,320",94
62,6,Robert MacIntyre,301.3,"26,512",88
62,6,Erik van Rooyen,301.3,"29,525",98
65,2,Davis Riley,301.2,"24,699",82
66,5,Luke List,301.1,"27,097",90
66,2,Scottie Scheffler,301.1,"28,307",94
68,4,Tyson Alexander,300.9,"25,880",86
68,4,Ryan Palmer,300.9,"18,055",60
70,4,S.H. Kim,300.8,"35,493",118
71,5,Thomas Detry,300.4,"27,036",90
71,7,Michael Kim,300.4,"27,334",91
73,6,Mac Meissner,300.3,"22,820",76
74,4,Matthew Fitzpatrick,300.1,"28,210",94
74,6,Andrew Novak,300.1,"26,410",88
74,6,Justin Suh,300.1,"21,610",72
77,5,Trace Crowe,300,"17,100",57
77,2,Adam Schenk,300,"33,604",112
79,4,K.H. Lee,299.9,"24,593",82
79,4,Matt Wallace,299.9,"26,387",88
81,6,Max Homa,299.7,"30,572",102
82,5,Viktor Hovland,299.5,"19,764",66
83,5,Thorbjørn Olesen,299.3,"19,156",64
84,2,Harris English,299.2,"31,715",106
85,5,Sami Valimaki,299,"22,721",76
86,5,Chesson Hadley,298.9,"20,324",68
86,1,Victor Perez,298.9,"28,395",95
88,1,Corey Conners,298.6,"35,239",118
89,4,Patton Kizzire,298.5,"16,419",55
90,1,Cam Davis,298.4,"28,054",94
90,4,Webb Simpson,298.4,"19,695",66
92,-,Rickie Fowler,298.3,"29,230",98
93,8,Will Zalatoris,297.9,"23,835",80
94,3,Akshay Bhatia,297.8,"32,164",108
95,-,Billy Horschel,297.7,"27,389",92
96,1,Patrick Cantlay,297.6,"24,403",82
97,6,Beau Hossler,297.5,"27,963",94
97,4,Shane Lowry,297.5,"26,183",88
99,-,Matthieu Pavon,297.2,"21,991",74
99,1,Adam Svensson,297.2,"36,255",122
101,7,Ben Taylor,297,"16,633",56
102,2,Tommy Fleetwood,296.9,"26,719",90
103,7,Jorge Campillo,296.7,"21,069",71
103,2,Justin Rose,296.7,"25,519",86
105,-,Austin Eckroat,296.6,"29,659",100
106,2,Eric Cole,296.5,"33,805",114
106,1,Mackenzie Hughes,296.5,"31,428",106
108,4,Jacob Bridgeman,296.3,"22,520",76
108,1,Chris Kirk,296.3,"25,479",86
108,4,Justin Lower,296.3,"27,850",94
111,-,Hideki Matsuyama,295.8,"27,804",94
112,3,Hayden Buckley,295.7,"23,068",78
112,3,Harry Hall,295.7,"27,200",92
114,3,Chan Kim,295.6,"27,192",92
115,4,Tom Whitney,295.4,"21,270",72
116,2,Adam Hadwin,295.1,"27,735",94
116,4,Peter Malnati,295.1,"26,555",90
116,6,Chandler Phillips,295.1,"25,376",86
119,1,Tom Kim,295,"33,630",114
120,2,Seamus Power,294.9,"30,082",102
121,3,Brandon Wu,294.7,"22,691",77
122,3,Ben Martin,294.5,"24,735",84
123,4,Tyler Duncan,294.4,"22,080",75
123,4,Ryo Hisatsune,294.4,"27,967",95
125,2,Ben Griffin,294.3,"34,136",116
126,4,Daniel Berger,294.1,"20,001",68
127,4,Lee Hodges,293.9,"31,149",106
127,2,Sungjae Im,293.9,"28,801",98
129,4,Kevin Streelman,293.6,"19,087",65
129,4,Josh Teater,293.6,"14,976",51
131,4,C.T. Pan,293.4,"21,710",74
132,4,Carson Young,293.2,"25,799",88
133,1,Collin Morikawa,293,"27,541",94
133,4,Matt NeSmith,293,"23,149",79
135,4,Alex Noren,292.8,"28,696",98
136,2,Mark Hubbard,292.7,"32,201",110
136,2,Taylor Montgomery,292.7,"18,149",62
138,4,J.J. Spaun,292.6,"21,649",74
139,1,Tom Hoge,292.4,"35,669",122
139,4,Aaron Rai,292.4,"29,237",100
141,3,Nate Lashley,292.2,"21,037",72
142,4,Si Woo Kim,292,"33,287",114
143,2,Chad Ramey,291.9,"23,351",80
144,2,Greyson Sigg,291.8,"24,511",84
145,2,Dylan Wu,291.7,"25,666",88
146,3,Joel Dahmen,291.3,"27,964",96
147,3,Nico Echavarria,291,"25,605",88
147,3,Troy Merritt,291,"25,606",88
147,3,Robby Shelton,291,"24,441",84
150,3,Sepp Straka,290.9,"26,178",90
151,2,Roger Sloan,290.8,"16,287",56
152,4,Doug Ghim,290.3,"26,128",90
153,1,Nick Taylor,289.7,"28,391",98
154,4,Emiliano Grillo,289.4,"31,829",110
154,3,Brian Harman,289.4,"31,833",110
156,3,Ben Silverman,289.3,"27,773",96
157,3,Martin Laird,288.9,"22,823",79
158,3,J.T. Poston,288.1,"29,389",102
158,4,Sam Ryder,288.1,"23,628",82
160,2,Christiaan Bezuidenhout,287.7,"28,198",98
160,5,Harrison Endycott,287.7,"15,822",55
162,-,Denny McCarthy,287.6,"31,635",110
163,2,Lucas Glover,287.4,"30,468",106
164,3,Ryan Moore,287.3,"22,986",80
165,4,David Lipsky,287.2,"20,681",72
166,1,Russell Henley,286.6,"28,082",98
167,2,Matt Kuchar,286.5,"20,052",70
168,3,Ben Kohles,285.8,"22,295",78
169,3,Chez Reavie,284.6,"20,489",72
170,3,Zach Johnson,284.1,"14,771",52
171,3,Kevin Kisner,283.9,"15,901",56
172,4,Camilo Villegas,283.3,"17,562",62
173,6,Aaron Baddeley,281.9,"22,554",80
174,4,Andrew Putnam,281.3,"27,568",98
175,2,Brandt Snedeker,281.2,"19,122",68
176,4,Brendon Todd,277.3,"29,393",106
177,4,Zac Blair,276.3,"19,896",72
178,4,Alexander Björk,275.8,"18,756",68
